station_id,station_name,latitude,longitude,elevation_m,city,country,hardware,software,source_system
WU_LA_MADELEINE,La Madeleine,50.659,3.07,23,La Madeleine,FR,other,EasyWeatherPro_V5.1.6,weather_underground
WU_ICHTEGEM,WeerstationBS,51.092,2.999,15,Ichtegem,BE,other,EasyWeatherV1.6.6,weather_underground
07015,Lille-Lesquin,50.567,3.103,47,Lille,FR,SYNOP,,infoclimat
00052,Armentières,50.689,2.877,16,Armentières,FR,SYNOP,,infoclimat
000R5,Bergues,50.968,2.441,17,Bergues,FR,SYNOP,,infoclimat
STATIC0010,Hazebrouck,50.727,2.539,19,Hazebrouck,FR,Station statique,,infoclimat
