product_id;product_label;product_price;product_total_sales;CA_product;z_score;is_premium
4053;Clos du Mont-Olivet Châteauneuf-du-Pape 2012;44.3;23;1018.9;0.42454656206868563;false
4054;Clos du Mont-Olivet Châteauneuf-du-Pape Cuvée du Papet 2018;71.6;10;716.0;1.4061893061826627;false
4064;Oratoire Saint Martin Cairanne Rouge Réserve des Seigneurs 2017;14.4;3;43.2;-0.6505859671990037;false
4072;Château de Vaudieu Châteauneuf-du-Pape Blanc 2015;32.0;1;32.0;-0.017732036927721642;false
4086;Rimauresq Côtes de Provence Blanc Cru Classé 2019;16.4;4;65.6;-0.5786707478499944;false
4158;Planeta Sicilia Etna Rosso 2018;18.5;0;0.0;-0.5031597675335346;false
4166;Ollieux Romanis Corbières Boutenac Atal Sia 2017;20.5;6;123.0;-0.4312445481845253;false
4172;Maurel Pays d'Oc Chardonnay 2019;5.7;43;245.1;-0.9634171713671943;false
4178;Domaine de l'Hortus Pic Saint-Loup La Bergerie Rosé 2019;11.5;17;195.5;-0.7548630352550673;false
4182;Borie La Vitarèle Saint-Chinian Les Schistes 2017;16.7;3;50.099999999999994;-0.567883464947643;false
4200;Moulin de Gassac IGP Pays d'Hérault Guilhem Rosé 2019;5.8;46;266.8;-0.9598214103997438;false
4220;Xavier Frissant Touraine Amboise Chenin Les Pierres 2018;11.6;12;139.2;-0.7512672742876167;false
4239;Domaine Augustin Collioure Blanc Adéodat 2019;28.0;0;0.0;-0.1615624756257403;false
4256;Domaine Huet Vouvray Haut-Lieu Sec 2017;24.4;0;0.0;-0.29100987045395715;false
4258;Domaine Huet Vouvray Le Mont Sec 2017;32.1;5;160.5;-0.014136275960271123;false
4263;Chermette Domaine du Vissoux Fleurie Poncié 2018;15.8;0;0.0;-0.6002453136546971;false
4264;Chermette Domaine du Vissoux Moulin à Vent Les Trois Roches 2018;17.8;2;35.6;-0.5283300943056878;false
4276;I Fabbri Chianti Classico Terra Di Lamole 2015;17.6;0;0.0;-0.5355216162405887;false
4297;Domaine de La Tour Du Bon Bandol Blanc 2019;19.0;0;0.0;-0.48518096269628225;false
4301;Domaine de La Tour Du Bon Bandol Rosé 2019;17.5;3;52.5;-0.5391173772080392;false
4334;Champagne Gosset Grand Blanc de Blancs;49.0;96;4704.0;0.5935473275388576;false
4405;Cognac Frapin Château de Fontpinot XO 1/2;68.1;0;0.0;1.2803376723218964;false
4573;Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015;67.2;0;0.0;1.2479758236148426;false
